Tempo de Leitura: 7.548724412918091

Vertice Inicial: 2383

Tempo da Busca: 0.25339412689208984

0: (33/5968)
1: (6/5995)
2: (9/5992)
3: (11/5990)
4: (12/5989)
5: (2/5999)
6: (15/5986)
7: (7/5994)
8: (13/5988)
9: (3/5998)
10: (17/5984)
11: (4/5997)
12: (43/5958)
13: (10/5991)
14: (18/5983)
15: (26/5975)
16: (25/5976)
17: (22/5979)
18: (21/5980)
19: (14/5987)
20: (5/5996)
21: (27/5974)
22: (19/5982)
23: (16/5985)
24: (23/5978)
25: (36/5965)
26: (28/5973)
27: (8/5993)
28: (20/5981)
29: (51/5950)
30: (38/5963)
31: (31/5970)
32: (45/5956)
33: (24/5977)
34: (39/5962)
35: (29/5972)
36: (54/5947)
37: (35/5966)
38: (32/5969)
39: (48/5953)
40: (37/5964)
41: (30/5971)
42: (58/5943)
43: (40/5961)
44: (49/5952)
45: (42/5959)
46: (56/5945)
47: (68/5933)
48: (47/5954)
49: (41/5960)
50: (34/5967)
51: (64/5937)
52: (55/5946)
53: (52/5949)
54: (73/5928)
55: (46/5955)
56: (86/5915)
57: (50/5951)
58: (70/5931)
59: (57/5944)
60: (74/5927)
61: (44/5957)
62: (69/5932)
63: (83/5918)
64: (65/5936)
65: (62/5939)
66: (67/5934)
67: (66/5935)
68: (60/5941)
69: (61/5940)
70: (59/5942)
71: (63/5938)
72: (72/5929)
73: (95/5906)
74: (91/5910)
75: (53/5948)
76: (88/5913)
77: (84/5917)
78: (81/5920)
79: (77/5924)
80: (96/5905)
81: (82/5919)
82: (90/5911)
83: (76/5925)
84: (79/5922)
85: (78/5923)
86: (71/5930)
87: (97/5904)
88: (101/5900)
89: (117/5884)
90: (118/5883)
91: (98/5903)
92: (107/5894)
93: (108/5893)
94: (89/5912)
95: (92/5909)
96: (87/5914)
97: (102/5899)
98: (75/5926)
99: (105/5896)
100: (111/5890)
101: (100/5901)
102: (123/5878)
103: (93/5908)
104: (125/5876)
105: (85/5916)
106: (94/5907)
107: (106/5895)
108: (104/5897)
109: (137/5864)
110: (80/5921)
111: (124/5877)
112: (147/5854)
113: (112/5889)
114: (109/5892)
