Tempo de Leitura: 20.893784999847412

Vertice Inicial: 2592

Tempo da Busca: 0.4737584590911865

0: (6/5995)
1: (2/5999)
2: (5/5996)
3: (4/5997)
4: (7/5994)
5: (8/5993)
6: (19/5982)
7: (9/5992)
8: (3/5998)
9: (13/5988)
10: (10/5991)
11: (11/5990)
12: (12/5989)
13: (17/5984)
14: (14/5987)
15: (16/5985)
16: (18/5983)
17: (20/5981)
18: (22/5979)
19: (28/5973)
20: (15/5986)
21: (21/5980)
22: (24/5977)
23: (27/5974)
24: (26/5975)
25: (23/5978)
26: (29/5972)
27: (25/5976)
28: (31/5970)
29: (30/5971)
30: (32/5969)
31: (36/5965)
32: (33/5968)
33: (37/5964)
34: (38/5963)
35: (34/5967)
36: (35/5966)
37: (40/5961)
38: (41/5960)
39: (39/5962)
40: (43/5958)
41: (44/5957)
42: (42/5959)
43: (45/5956)
44: (47/5954)
45: (46/5955)
46: (48/5953)
47: (49/5952)
48: (52/5949)
49: (51/5950)
50: (50/5951)
51: (62/5939)
52: (54/5947)
53: (57/5944)
54: (60/5941)
55: (56/5945)
56: (55/5946)
57: (53/5948)
58: (58/5943)
59: (59/5942)
60: (63/5938)
61: (61/5940)
62: (73/5928)
63: (64/5937)
64: (70/5931)
65: (68/5933)
66: (75/5926)
67: (66/5935)
68: (67/5934)
69: (76/5925)
70: (65/5936)
71: (72/5929)
72: (71/5930)
73: (74/5927)
74: (77/5924)
75: (79/5922)
76: (88/5913)
77: (80/5921)
78: (81/5920)
79: (69/5932)
80: (78/5923)
81: (82/5919)
82: (87/5914)
83: (84/5917)
84: (83/5918)
85: (89/5912)
86: (86/5915)
87: (93/5908)
88: (92/5909)
89: (90/5911)
90: (97/5904)
91: (85/5916)
92: (95/5906)
93: (98/5903)
94: (96/5905)
95: (99/5902)
96: (91/5910)
97: (100/5901)
98: (103/5898)
99: (101/5900)
100: (107/5894)
101: (102/5899)
102: (104/5897)
103: (94/5907)
104: (111/5890)
105: (105/5896)
106: (108/5893)
107: (110/5891)
108: (112/5889)
109: (113/5888)
110: (106/5895)
111: (115/5886)
112: (116/5885)
113: (114/5887)
114: (122/5879)
115: (109/5892)
116: (117/5884)
117: (118/5883)
118: (119/5882)
119: (120/5881)
120: (121/5880)
121: (127/5874)
122: (126/5875)
123: (128/5873)
124: (129/5872)
125: (125/5876)
126: (123/5878)
127: (132/5869)
128: (124/5877)
129: (131/5870)
130: (133/5868)
131: (134/5867)
132: (142/5859)
133: (137/5864)
134: (135/5866)
135: (146/5855)
136: (144/5857)
137: (136/5865)
138: (139/5862)
139: (130/5871)
140: (138/5863)
141: (141/5860)
142: (147/5854)
143: (140/5861)
144: (151/5850)
145: (150/5851)
146: (145/5856)
147: (152/5849)
148: (148/5853)
149: (143/5858)
150: (156/5845)
151: (149/5852)
152: (153/5848)
153: (158/5843)
154: (155/5846)
155: (168/5833)
156: (163/5838)
157: (154/5847)
158: (161/5840)
159: (166/5835)
160: (164/5837)
161: (169/5832)
162: (165/5836)
163: (157/5844)
164: (159/5842)
165: (162/5839)
166: (173/5828)
167: (171/5830)
168: (160/5841)
169: (172/5829)
170: (170/5831)
171: (175/5826)
172: (167/5834)
173: (177/5824)
174: (174/5827)
175: (176/5825)
176: (178/5823)
177: (179/5822)
178: (180/5821)
179: (182/5819)
180: (181/5820)
181: (190/5811)
182: (184/5817)
183: (183/5818)
184: (191/5810)
185: (185/5816)
186: (199/5802)
187: (194/5807)
188: (188/5813)
189: (193/5808)
190: (187/5814)
191: (189/5812)
192: (196/5805)
193: (186/5815)
194: (200/5801)
195: (195/5806)
196: (192/5809)
197: (197/5804)
198: (206/5795)
199: (205/5796)
200: (201/5800)
201: (209/5792)
202: (198/5803)
203: (207/5794)
204: (203/5798)
205: (202/5799)
206: (215/5786)
207: (211/5790)
208: (204/5797)
209: (214/5787)
210: (208/5793)
211: (212/5789)
212: (217/5784)
213: (213/5788)
214: (218/5783)
215: (216/5785)
216: (219/5782)
217: (210/5791)
218: (234/5767)
219: (223/5778)
220: (221/5780)
221: (224/5777)
222: (220/5781)
223: (227/5774)
224: (228/5773)
225: (222/5779)
226: (235/5766)
227: (230/5771)
228: (231/5770)
229: (225/5776)
230: (232/5769)
231: (226/5775)
232: (229/5772)
233: (236/5765)
234: (239/5762)
235: (233/5768)
236: (237/5764)
237: (241/5760)
238: (244/5757)
239: (238/5763)
240: (242/5759)
241: (245/5756)
242: (252/5749)
243: (247/5754)
244: (246/5755)
245: (240/5761)
246: (250/5751)
247: (251/5750)
248: (243/5758)
249: (248/5753)
250: (254/5747)
251: (256/5745)
252: (253/5748)
253: (255/5746)
254: (257/5744)
255: (259/5742)
256: (258/5743)
257: (249/5752)
258: (266/5735)
259: (262/5739)
260: (264/5737)
261: (263/5738)
262: (265/5736)
263: (272/5729)
264: (270/5731)
265: (269/5732)
266: (267/5734)
267: (260/5741)
268: (271/5730)
269: (261/5740)
270: (274/5727)
271: (276/5725)
272: (268/5733)
273: (275/5726)
274: (285/5716)
275: (273/5728)
276: (277/5724)
277: (279/5722)
278: (280/5721)
279: (278/5723)
280: (286/5715)
281: (281/5720)
282: (283/5718)
283: (287/5714)
284: (289/5712)
285: (282/5719)
286: (298/5703)
287: (284/5717)
288: (292/5709)
289: (293/5708)
290: (300/5701)
291: (291/5710)
292: (295/5706)
293: (290/5711)
294: (299/5702)
295: (306/5695)
296: (296/5705)
297: (302/5699)
298: (297/5704)
299: (316/5685)
300: (294/5707)
301: (301/5700)
302: (305/5696)
303: (304/5697)
304: (308/5693)
305: (288/5713)
306: (303/5698)
307: (307/5694)
308: (309/5692)
309: (311/5690)
310: (312/5689)
311: (310/5691)
312: (318/5683)
313: (321/5680)
314: (324/5677)
315: (319/5682)
316: (314/5687)
317: (320/5681)
318: (313/5688)
319: (317/5684)
320: (331/5670)
321: (315/5686)
322: (328/5673)
323: (322/5679)
324: (323/5678)
325: (337/5664)
326: (327/5674)
327: (329/5672)
328: (325/5676)
329: (326/5675)
330: (330/5671)
331: (332/5669)
332: (336/5665)
