Tempo de Leitura: 224.08835983276367

Vertice Inicial: 9038

Tempo da Busca: 18.58087396621704

0: (2/19999)
1: (4/19997)
2: (3/19998)
3: (5/19996)
4: (7/19994)
5: (6/19995)
6: (8/19993)
7: (9/19992)
8: (14/19987)
9: (11/19990)
10: (13/19988)
11: (10/19991)
12: (15/19986)
13: (16/19985)
14: (12/19989)
15: (17/19984)
16: (18/19983)
17: (20/19981)
18: (23/19978)
19: (19/19982)
20: (21/19980)
21: (24/19977)
22: (26/19975)
23: (22/19979)
24: (25/19976)
25: (27/19974)
26: (29/19972)
27: (28/19973)
28: (30/19971)
29: (34/19967)
30: (31/19970)
31: (32/19969)
32: (33/19968)
33: (39/19962)
34: (35/19966)
35: (36/19965)
36: (37/19964)
37: (38/19963)
38: (40/19961)
39: (41/19960)
40: (42/19959)
41: (43/19958)
42: (44/19957)
43: (47/19954)
44: (46/19955)
45: (45/19956)
46: (49/19952)
47: (54/19947)
48: (51/19950)
49: (48/19953)
50: (53/19948)
51: (50/19951)
52: (52/19949)
53: (55/19946)
54: (56/19945)
55: (58/19943)
56: (59/19942)
57: (60/19941)
58: (61/19940)
59: (57/19944)
60: (62/19939)
61: (64/19937)
62: (63/19938)
63: (65/19936)
64: (67/19934)
65: (66/19935)
66: (68/19933)
67: (70/19931)
68: (71/19930)
69: (69/19932)
70: (72/19929)
71: (74/19927)
72: (75/19926)
73: (76/19925)
74: (73/19928)
75: (77/19924)
76: (78/19923)
77: (79/19922)
78: (81/19920)
79: (82/19919)
80: (84/19917)
81: (80/19921)
82: (83/19918)
83: (85/19916)
84: (88/19913)
85: (87/19914)
86: (86/19915)
87: (92/19909)
88: (89/19912)
89: (90/19911)
90: (91/19910)
91: (93/19908)
92: (94/19907)
93: (95/19906)
94: (96/19905)
95: (97/19904)
96: (98/19903)
97: (100/19901)
98: (99/19902)
99: (101/19900)
100: (102/19899)
101: (103/19898)
102: (105/19896)
103: (104/19897)
104: (106/19895)
105: (109/19892)
106: (108/19893)
107: (107/19894)
108: (112/19889)
109: (111/19890)
110: (110/19891)
111: (113/19888)
112: (115/19886)
113: (114/19887)
114: (117/19884)
115: (116/19885)
116: (119/19882)
117: (118/19883)
118: (120/19881)
119: (121/19880)
120: (122/19879)
121: (124/19877)
122: (123/19878)
123: (125/19876)
