Tempo de Leitura: 8.11404013633728

Vertice Inicial: 695

Tempo da Busca: 31.98300790786743

0: (8/7993)
1: (3/7998)
2: (2/7999)
3: (25/7976)
4: (14/7987)
5: (9/7992)
6: (21/7980)
7: (16/7985)
8: (17/7984)
9: (7/7994)
10: (23/7978)
11: (6/7995)
12: (27/7974)
13: (30/7971)
14: (13/7988)
15: (5/7996)
16: (22/7979)
17: (11/7990)
18: (4/7997)
19: (19/7982)
20: (18/7983)
21: (29/7972)
22: (12/7989)
23: (26/7975)
24: (36/7965)
25: (42/7959)
26: (10/7991)
27: (41/7960)
28: (24/7977)
29: (39/7962)
30: (38/7963)
31: (35/7966)
32: (34/7967)
33: (48/7953)
34: (32/7969)
35: (37/7964)
36: (31/7970)
37: (40/7961)
38: (44/7957)
39: (56/7945)
40: (33/7968)
41: (46/7955)
42: (49/7952)
43: (59/7942)
44: (53/7948)
45: (52/7949)
46: (47/7954)
47: (55/7946)
48: (20/7981)
49: (71/7930)
50: (28/7973)
51: (64/7937)
52: (62/7939)
53: (65/7936)
54: (50/7951)
55: (63/7938)
56: (57/7944)
57: (69/7932)
58: (58/7943)
59: (15/7986)
60: (80/7921)
61: (67/7934)
62: (60/7941)
63: (43/7958)
64: (74/7927)
65: (61/7940)
66: (79/7922)
67: (72/7929)
68: (85/7916)
69: (82/7919)
70: (73/7928)
71: (68/7933)
72: (87/7914)
73: (77/7924)
74: (84/7917)
75: (45/7956)
76: (89/7912)
77: (66/7935)
78: (76/7925)
79: (88/7913)
80: (81/7920)
81: (92/7909)
82: (54/7947)
83: (75/7926)
84: (78/7923)
85: (86/7915)
86: (70/7931)
87: (90/7911)
88: (94/7907)
89: (51/7950)
90: (96/7905)
91: (95/7906)
92: (83/7918)
93: (97/7904)
94: (110/7891)
95: (103/7898)
96: (91/7910)
97: (106/7895)
98: (100/7901)
99: (118/7883)
100: (104/7897)
101: (98/7903)
102: (111/7890)
103: (102/7899)
104: (101/7900)
105: (112/7889)
106: (107/7894)
107: (105/7896)
108: (115/7886)
109: (93/7908)
110: (121/7880)
111: (116/7885)
112: (114/7887)
113: (120/7881)
114: (109/7892)
115: (119/7882)
116: (129/7872)
117: (127/7874)
118: (122/7879)
119: (117/7884)
120: (136/7865)
121: (149/7852)
122: (113/7888)
123: (123/7878)
124: (99/7902)
125: (141/7860)
126: (108/7893)
127: (124/7877)
128: (126/7875)
129: (131/7870)
130: (125/7876)
131: (134/7867)
132: (130/7871)
133: (133/7868)
134: (142/7859)
135: (163/7838)
136: (135/7866)
137: (144/7857)
138: (154/7847)
139: (165/7836)
140: (138/7863)
141: (153/7848)
142: (139/7862)
143: (137/7864)
144: (128/7873)
145: (151/7850)
146: (183/7818)
147: (143/7858)
148: (161/7840)
149: (140/7861)
150: (155/7846)
151: (158/7843)
152: (156/7845)
153: (150/7851)
154: (146/7855)
155: (147/7854)
156: (174/7827)
157: (164/7837)
158: (145/7856)
159: (162/7839)
160: (159/7842)
161: (152/7849)
162: (176/7825)
163: (190/7811)
164: (177/7824)
165: (166/7835)
166: (169/7832)
167: (185/7816)
168: (170/7831)
169: (157/7844)
170: (171/7830)
171: (178/7823)
172: (191/7810)
173: (186/7815)
174: (179/7822)
175: (188/7813)
176: (175/7826)
177: (160/7841)
178: (180/7821)
179: (201/7800)
180: (184/7817)
181: (148/7853)
182: (193/7808)
183: (173/7828)
184: (172/7829)
185: (181/7820)
186: (167/7834)
187: (132/7869)
188: (205/7796)
189: (168/7833)
190: (187/7814)
191: (182/7819)
192: (192/7809)
193: (189/7812)
194: (202/7799)
195: (204/7797)
196: (195/7806)
197: (194/7807)
198: (210/7791)
199: (200/7801)
200: (199/7802)
201: (216/7785)
202: (203/7798)
203: (206/7795)
204: (219/7782)
205: (198/7803)
206: (212/7789)
207: (224/7777)
208: (213/7788)
209: (228/7773)
210: (220/7781)
211: (208/7793)
212: (221/7780)
213: (196/7805)
214: (214/7787)
215: (211/7790)
216: (215/7786)
217: (207/7794)
218: (218/7783)
219: (233/7768)
220: (227/7774)
221: (226/7775)
222: (209/7792)
223: (236/7765)
224: (235/7766)
225: (230/7771)
226: (246/7755)
227: (197/7804)
228: (243/7758)
229: (222/7779)
230: (242/7759)
231: (247/7754)
